order_name,family_name,scientific_name,datetime,individuals
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,8/21/1994,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,8/25/1994,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,7/25/1996,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,7/19/1998,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,8/10/1999,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,8/31/1999,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,7/30/2000,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,8/28/2003,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,7/27/2004,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,7/20/2006,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,8/24/2006,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/16/1993,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/31/1995,4
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,6/20/1996,3
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/29/1997,7
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,6/3/1997,4
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/6/1998,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/18/1998,5
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/26/1998,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/16/2000,2
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/21/2001,2
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/31/2001,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/12/2002,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/23/2002,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/26/2003,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,5/17/2004,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,6/7/2004,1
